SEXO,POSSUI_CARRO,POSSUI_IMOVEL,QTD_FILHOS,RENDA_ANUAL,TIPO_RENDA,ESCOLARIDADE,ESTADO_CIVIL,TIPO_MORADIA,DIAS_EMPREGADO,TAMANHO_FAMILIA,IDADE,ROTULO
F,Sim,Sim,2,135000.0,Trabalho,Licenciatura,Casado,Casa / Apartamento,3173,4.0,43.0,BOM
F,Sim,Sim,2,135000.0,Trabalho,Licenciatura,Casado,Casa / Apartamento,3173,4.0,43.0,BOM
F,Sim,Sim,2,135000.0,Trabalho,Licenciatura,Casado,Casa / Apartamento,3173,4.0,43.0,BOM
F,Sim,Sim,2,135000.0,Trabalho,Licenciatura,Casado,Casa / Apartamento,3173,4.0,43.0,BOM
F,Sim,Sim,2,135000.0,Trabalho,Licenciatura,Casado,Casa / Apartamento,3173,4.0,43.0,BOM
F,Sim,Sim,2,135000.0,Trabalho,Licenciatura,Casado,Casa / Apartamento,3173,4.0,43.0,BOM
F,Não,Sim,1,211500.0,Servidor público,Licenciatura,Casado no civil,Casa / Apartamento,7099,3.0,44.0,BOM
F,Não,Sim,1,211500.0,Servidor público,Licenciatura,Casado no civil,Casa / Apartamento,7099,3.0,44.0,BOM
M,Sim,Sim,0,360000.0,Representate comercial,Licenciatura,Casado,Casa / Apartamento,5364,2.0,46.0,BOM
F,Não,Sim,2,126000.0,Representate comercial,Graduação completa,Casado,Casa / Apartamento,1773,4.0,34.0,BOM
F,Não,Sim,2,126000.0,Representate comercial,Graduação completa,Casado,Casa / Apartamento,1773,4.0,34.0,BOM
F,Não,Sim,2,126000.0,Representate comercial,Graduação completa,Casado,Casa / Apartamento,1773,4.0,34.0,BOM
F,Não,Sim,2,126000.0,Representate comercial,Graduação completa,Casado,Casa / Apartamento,1773,4.0,34.0,BOM
F,Não,Sim,2,126000.0,Representate comercial,Graduação completa,Casado,Casa / Apartamento,1773,4.0,34.0,BOM
F,Não,Sim,2,126000.0,Representate comercial,Graduação completa,Casado,Casa / Apartamento,1773,4.0,34.0,BOM
F,Não,Sim,2,126000.0,Representate comercial,Graduação completa,Casado,Casa / Apartamento,1773,4.0,34.0,BOM
F,Não,Sim,2,126000.0,Representate comercial,Graduação completa,Casado,Casa / Apartamento,1773,4.0,34.0,BOM
F,Não,Sim,2,126000.0,Representate comercial,Graduação completa,Casado,Casa / Apartamento,1773,4.0,34.0,BOM
F,Não,Sim,2,126000.0,Representate comercial,Graduação completa,Casado,Casa / Apartamento,1773,4.0,34.0,BOM
F,Não,Sim,0,315000.0,Pensão/Aposentadoria,Licenciatura,Viúvo,Casa / Apartamento,-365243,1.0,55.0,BOM
F,Não,Sim,0,247500.0,Representate comercial,Graduação completa,Divorciado,Apartamento alugado,1347,1.0,47.0,BOM
F,Não,Sim,0,247500.0,Representate comercial,Graduação completa,Divorciado,Apartamento alugado,1347,1.0,47.0,BOM
F,Não,Sim,0,247500.0,Representate comercial,Graduação completa,Divorciado,Apartamento alugado,1347,1.0,47.0,BOM
F,Não,Sim,0,247500.0,Representate comercial,Graduação completa,Divorciado,Apartamento alugado,1347,1.0,47.0,BOM
F,Não,Sim,0,297000.0,Representate comercial,Licenciatura,Solteiro,Apartamento alugado,3234,1.0,43.0,BOM
F,Não,Sim,0,297000.0,Representate comercial,Licenciatura,Solteiro,Apartamento alugado,3234,1.0,43.0,BOM
F,Não,Sim,0,297000.0,Representate comercial,Licenciatura,Solteiro,Apartamento alugado,3234,1.0,43.0,BOM
F,Não,Sim,0,297000.0,Representate comercial,Licenciatura,Solteiro,Apartamento alugado,3234,1.0,43.0,BOM
F,Não,Sim,0,297000.0,Representate comercial,Licenciatura,Solteiro,Apartamento alugado,3234,1.0,43.0,BOM
F,Não,Sim,0,297000.0,Representate comercial,Licenciatura,Solteiro,Apartamento alugado,3234,1.0,43.0,BOM
F,Não,Sim,0,297000.0,Representate comercial,Licenciatura,Solteiro,Apartamento alugado,3234,1.0,43.0,BOM
F,Não,Sim,0,297000.0,Representate comercial,Licenciatura,Solteiro,Apartamento alugado,3234,1.0,43.0,BOM
F,Não,Sim,0,297000.0,Representate comercial,Licenciatura,Solteiro,Apartamento alugado,3234,1.0,43.0,BOM
F,Não,Sim,0,297000.0,Representate comercial,Licenciatura,Solteiro,Apartamento alugado,3234,1.0,43.0,BOM
F,Não,Sim,0,297000.0,Representate comercial,Licenciatura,Solteiro,Apartamento alugado,3234,1.0,43.0,BOM
F,Não,Sim,0,297000.0,Representate comercial,Licenciatura,Solteiro,Apartamento alugado,3234,1.0,43.0,BOM
F,Não,Sim,0,297000.0,Representate comercial,Licenciatura,Solteiro,Apartamento alugado,3234,1.0,43.0,BOM
F,Não,Sim,0,297000.0,Representate comercial,Licenciatura,Solteiro,Apartamento alugado,3234,1.0,43.0,BOM
F,Não,Sim,0,297000.0,Representate comercial,Licenciatura,Solteiro,Apartamento alugado,3234,1.0,43.0,BOM
F,Não,Sim,0,297000.0,Representate comercial,Licenciatura,Solteiro,Apartamento alugado,3234,1.0,43.0,BOM
F,Não,Sim,0,297000.0,Representate comercial,Licenciatura,Solteiro,Apartamento alugado,3234,1.0,43.0,BOM
F,Não,Sim,0,297000.0,Representate comercial,Licenciatura,Solteiro,Apartamento alugado,3234,1.0,43.0,BOM
F,Não,Sim,0,297000.0,Representate comercial,Licenciatura,Solteiro,Apartamento alugado,3234,1.0,43.0,BOM
F,Não,Sim,0,297000.0,Representate comercial,Licenciatura,Solteiro,Apartamento alugado,3234,1.0,43.0,BOM
F,Não,Sim,0,297000.0,Representate comercial,Licenciatura,Solteiro,Apartamento alugado,3234,1.0,43.0,BOM
F,Não,Sim,0,297000.0,Representate comercial,Licenciatura,Solteiro,Apartamento alugado,3234,1.0,43.0,BOM
F,Não,Sim,0,297000.0,Representate comercial,Licenciatura,Solteiro,Apartamento alugado,3234,1.0,43.0,BOM
F,Não,Sim,0,297000.0,Representate comercial,Licenciatura,Solteiro,Apartamento alugado,3234,1.0,43.0,BOM
F,Não,Sim,0,297000.0,Representate comercial,Licenciatura,Solteiro,Apartamento alugado,3234,1.0,43.0,BOM
F,Não,Sim,0,297000.0,Representate comercial,Licenciatura,Solteiro,Apartamento alugado,3234,1.0,43.0,BOM
F,Não,Sim,0,297000.0,Representate comercial,Licenciatura,Solteiro,Apartamento alugado,3234,1.0,43.0,BOM
F,Não,Sim,0,297000.0,Representate comercial,Licenciatura,Solteiro,Apartamento alugado,3234,1.0,43.0,BOM
F,Não,Sim,0,297000.0,Representate comercial,Licenciatura,Solteiro,Apartamento alugado,3234,1.0,43.0,BOM
F,Não,Sim,0,297000.0,Representate comercial,Licenciatura,Solteiro,Apartamento alugado,3234,1.0,43.0,BOM
F,Não,Sim,0,297000.0,Representate comercial,Licenciatura,Solteiro,Apartamento alugado,3234,1.0,43.0,BOM
F,Não,Sim,0,297000.0,Representate comercial,Licenciatura,Solteiro,Apartamento alugado,3234,1.0,43.0,BOM
F,Não,Sim,0,297000.0,Representate comercial,Licenciatura,Solteiro,Apartamento alugado,3234,1.0,43.0,BOM
F,Não,Sim,0,297000.0,Representate comercial,Licenciatura,Solteiro,Apartamento alugado,3234,1.0,43.0,BOM
F,Não,Sim,0,297000.0,Representate comercial,Licenciatura,Solteiro,Apartamento alugado,3234,1.0,43.0,BOM
F,Não,Sim,0,297000.0,Representate comercial,Licenciatura,Solteiro,Apartamento alugado,3234,1.0,43.0,BOM
F,Não,Sim,0,297000.0,Representate comercial,Licenciatura,Solteiro,Apartamento alugado,3234,1.0,43.0,BOM
F,Não,Sim,0,297000.0,Representate comercial,Licenciatura,Solteiro,Apartamento alugado,3234,1.0,43.0,BOM
F,Não,Sim,0,297000.0,Representate comercial,Licenciatura,Solteiro,Apartamento alugado,3234,1.0,43.0,BOM
F,Não,Sim,0,297000.0,Representate comercial,Licenciatura,Solteiro,Apartamento alugado,3234,1.0,43.0,BOM
F,Não,Sim,0,297000.0,Representate comercial,Licenciatura,Solteiro,Apartamento alugado,3234,1.0,43.0,BOM
F,Não,Sim,0,297000.0,Representate comercial,Licenciatura,Solteiro,Apartamento alugado,3234,1.0,43.0,BOM
F,Não,Sim,0,297000.0,Representate comercial,Licenciatura,Solteiro,Apartamento alugado,3234,1.0,43.0,BOM
F,Não,Sim,0,297000.0,Representate comercial,Licenciatura,Solteiro,Apartamento alugado,3234,1.0,43.0,BOM
F,Não,Sim,0,297000.0,Representate comercial,Licenciatura,Solteiro,Apartamento alugado,3234,1.0,43.0,BOM
F,Não,Sim,0,297000.0,Representate comercial,Licenciatura,Solteiro,Apartamento alugado,3234,1.0,43.0,BOM
F,Não,Sim,0,297000.0,Representate comercial,Licenciatura,Solteiro,Apartamento alugado,3234,1.0,43.0,BOM
F,Não,Sim,0,297000.0,Representate comercial,Licenciatura,Solteiro,Apartamento alugado,3234,1.0,43.0,BOM
F,Não,Sim,0,297000.0,Representate comercial,Licenciatura,Solteiro,Apartamento alugado,3234,1.0,43.0,BOM
F,Não,Sim,0,297000.0,Representate comercial,Licenciatura,Solteiro,Apartamento alugado,3234,1.0,43.0,BOM
F,Não,Sim,0,297000.0,Representate comercial,Licenciatura,Solteiro,Apartamento alugado,3234,1.0,43.0,BOM
F,Não,Não,0,157500.0,Representate comercial,Graduação completa,Casado,Casa / Apartamento,4846,2.0,37.0,BOM
F,Não,Não,0,157500.0,Representate comercial,Graduação completa,Casado,Casa / Apartamento,4846,2.0,37.0,BOM
F,Não,Não,0,157500.0,Representate comercial,Graduação completa,Casado,Casa / Apartamento,4846,2.0,37.0,BOM
F,Não,Não,0,157500.0,Representate comercial,Graduação completa,Casado,Casa / Apartamento,4846,2.0,37.0,BOM
F,Não,Não,0,157500.0,Representate comercial,Graduação completa,Casado,Casa / Apartamento,4846,2.0,37.0,BOM
M,Não,Sim,0,135000.0,Trabalho,Licenciatura,Casado,Casa / Apartamento,1408,2.0,42.0,BOM
M,Não,Sim,0,135000.0,Trabalho,Licenciatura,Casado,Casa / Apartamento,1408,2.0,42.0,BOM
M,Não,Sim,0,135000.0,Trabalho,Licenciatura,Casado,Casa / Apartamento,1408,2.0,42.0,BOM
M,Não,Sim,0,135000.0,Trabalho,Licenciatura,Casado,Casa / Apartamento,1408,2.0,42.0,BOM
M,Não,Sim,1,225000.0,Trabalho,Licenciatura,Casado,Casa / Apartamento,2808,3.0,28.0,BOM
M,Não,Sim,1,225000.0,Trabalho,Licenciatura,Casado,Casa / Apartamento,2808,3.0,28.0,BOM
M,Não,Sim,1,225000.0,Trabalho,Licenciatura,Casado,Casa / Apartamento,2808,3.0,28.0,BOM
M,Não,Sim,1,225000.0,Trabalho,Licenciatura,Casado,Casa / Apartamento,2808,3.0,28.0,BOM
F,Sim,Sim,0,135000.0,Trabalho,Licenciatura,Casado,Casa / Apartamento,1712,2.0,49.0,BOM
F,Sim,Sim,0,135000.0,Trabalho,Licenciatura,Casado,Casa / Apartamento,1712,2.0,49.0,BOM
F,Sim,Sim,0,135000.0,Trabalho,Licenciatura,Casado,Casa / Apartamento,1712,2.0,49.0,BOM
F,Sim,Sim,0,135000.0,Trabalho,Licenciatura,Casado,Casa / Apartamento,1712,2.0,49.0,BOM
F,Sim,Sim,0,135000.0,Trabalho,Licenciatura,Casado,Casa / Apartamento,1712,2.0,49.0,BOM
F,Sim,Sim,0,135000.0,Trabalho,Licenciatura,Casado,Casa / Apartamento,1712,2.0,49.0,BOM
F,Sim,Sim,0,135000.0,Trabalho,Licenciatura,Casado,Casa / Apartamento,1712,2.0,49.0,BOM
F,Sim,Sim,0,135000.0,Trabalho,Licenciatura,Casado,Casa / Apartamento,1712,2.0,49.0,BOM
M,Não,Sim,0,157500.0,Trabalho,Licenciatura,Casado,Casa / Apartamento,889,2.0,44.0,BOM
M,Não,Sim,0,157500.0,Trabalho,Licenciatura,Casado,Casa / Apartamento,889,2.0,44.0,BOM
M,Não,Sim,0,157500.0,Trabalho,Licenciatura,Casado,Casa / Apartamento,889,2.0,44.0,BOM
M,Não,Sim,0,157500.0,Trabalho,Licenciatura,Casado,Casa / Apartamento,889,2.0,44.0,BOM
F,Não,Sim,0,112500.0,Pensão/Aposentadoria,Licenciatura,Casado,Casa / Apartamento,-365243,2.0,61.0,BOM
F,Não,Sim,0,112500.0,Pensão/Aposentadoria,Licenciatura,Casado,Casa / Apartamento,-365243,2.0,61.0,BOM
F,Não,Sim,0,112500.0,Pensão/Aposentadoria,Licenciatura,Casado,Casa / Apartamento,-365243,2.0,61.0,BOM
F,Não,Sim,0,112500.0,Pensão/Aposentadoria,Licenciatura,Casado,Casa / Apartamento,-365243,2.0,61.0,BOM
F,Não,Sim,0,112500.0,Pensão/Aposentadoria,Licenciatura,Casado,Casa / Apartamento,-365243,2.0,61.0,BOM
F,Não,Sim,0,112500.0,Pensão/Aposentadoria,Licenciatura,Casado,Casa / Apartamento,-365243,2.0,61.0,BOM
F,Não,Sim,0,112500.0,Pensão/Aposentadoria,Licenciatura,Casado,Casa / Apartamento,-365243,2.0,61.0,BOM
M,Sim,Sim,0,112500.0,Servidor público,Licenciatura,Casado,Casa / Apartamento,2381,2.0,57.0,BOM
M,Sim,Sim,0,112500.0,Servidor público,Licenciatura,Casado,Casa / Apartamento,2381,2.0,57.0,BOM
M,Sim,Sim,0,112500.0,Servidor público,Licenciatura,Casado,Casa / Apartamento,2381,2.0,57.0,BOM
M,Sim,Sim,0,112500.0,Servidor público,Licenciatura,Casado,Casa / Apartamento,2381,2.0,57.0,BOM
M,Sim,Sim,0,112500.0,Servidor público,Licenciatura,Casado,Casa / Apartamento,2381,2.0,57.0,BOM
M,Sim,Sim,0,112500.0,Servidor público,Licenciatura,Casado,Casa / Apartamento,2381,2.0,57.0,BOM
F,Sim,Sim,0,270000.0,Trabalho,Licenciatura,Divorciado,Casa / Apartamento,1194,1.0,45.0,BOM
F,Sim,Sim,0,270000.0,Trabalho,Licenciatura,Divorciado,Casa / Apartamento,1194,1.0,45.0,BOM
F,Sim,Sim,0,270000.0,Trabalho,Licenciatura,Divorciado,Casa / Apartamento,1194,1.0,45.0,BOM
F,Sim,Sim,0,270000.0,Trabalho,Licenciatura,Divorciado,Casa / Apartamento,1194,1.0,45.0,BOM
F,Sim,Sim,0,270000.0,Trabalho,Licenciatura,Divorciado,Casa / Apartamento,1194,1.0,45.0,BOM
F,Sim,Sim,0,270000.0,Trabalho,Licenciatura,Divorciado,Casa / Apartamento,1194,1.0,45.0,BOM
F,Sim,Sim,0,270000.0,Trabalho,Graduação completa,Casado,Casa / Apartamento,828,2.0,29.0,BOM
F,Sim,Sim,0,270000.0,Trabalho,Graduação completa,Casado,Casa / Apartamento,828,2.0,29.0,BOM
M,Sim,Sim,0,157500.0,Trabalho,Licenciatura,Casado,Casa / Apartamento,828,2.0,27.0,BOM
M,Não,Sim,0,166500.0,Trabalho,Licenciatura,Casado,Casa / Apartamento,6276,2.0,52.0,BOM
M,Não,Sim,0,166500.0,Trabalho,Licenciatura,Casado,Casa / Apartamento,6276,2.0,52.0,BOM
M,Não,Sim,0,166500.0,Trabalho,Licenciatura,Casado,Casa / Apartamento,6276,2.0,52.0,BOM
M,Não,Sim,0,166500.0,Trabalho,Licenciatura,Casado,Casa / Apartamento,6276,2.0,52.0,BOM
M,Não,Sim,0,166500.0,Trabalho,Licenciatura,Casado,Casa / Apartamento,6276,2.0,52.0,BOM
M,Não,Sim,0,166500.0,Trabalho,Licenciatura,Casado,Casa / Apartamento,6276,2.0,52.0,BOM
M,Não,Sim,0,166500.0,Trabalho,Licenciatura,Casado,Casa / Apartamento,6276,2.0,52.0,BOM
M,Não,Sim,0,166500.0,Trabalho,Licenciatura,Casado,Casa / Apartamento,6276,2.0,52.0,BOM
M,Não,Sim,0,166500.0,Trabalho,Licenciatura,Casado,Casa / Apartamento,6276,2.0,52.0,BOM
M,Não,Sim,0,166500.0,Trabalho,Licenciatura,Casado,Casa / Apartamento,6276,2.0,52.0,BOM
F,Não,Sim,2,216000.0,Servidor público,Graduação completa,Casado,Casa / Apartamento,3112,4.0,42.0,BOM
F,Não,Sim,2,216000.0,Servidor público,Graduação completa,Casado,Casa / Apartamento,3112,4.0,42.0,BOM
F,Não,Sim,2,216000.0,Servidor público,Graduação completa,Casado,Casa / Apartamento,3112,4.0,42.0,BOM
F,Não,Sim,2,216000.0,Servidor público,Graduação completa,Casado,Casa / Apartamento,3112,4.0,42.0,BOM
F,Não,Sim,2,216000.0,Servidor público,Graduação completa,Casado,Casa / Apartamento,3112,4.0,42.0,BOM
F,Não,Sim,2,216000.0,Servidor público,Graduação completa,Casado,Casa / Apartamento,3112,4.0,42.0,BOM
F,Não,Sim,2,216000.0,Servidor público,Graduação completa,Casado,Casa / Apartamento,3112,4.0,42.0,BOM
F,Não,Sim,2,216000.0,Servidor público,Graduação completa,Casado,Casa / Apartamento,3112,4.0,42.0,BOM
F,Sim,Sim,0,270000.0,Representate comercial,Licenciatura,Casado,Casa / Apartamento,10843,2.0,54.0,BOM
F,Sim,Sim,0,270000.0,Representate comercial,Licenciatura,Casado,Casa / Apartamento,10843,2.0,54.0,BOM
F,Sim,Sim,0,225000.0,Representate comercial,Licenciatura,Casado,Casa / Apartamento,2777,2.0,40.0,BOM
F,Sim,Sim,0,225000.0,Representate comercial,Licenciatura,Casado,Casa / Apartamento,2777,2.0,40.0,BOM
F,Não,Sim,0,315000.0,Trabalho,Licenciatura,Solteiro,Casa / Apartamento,1194,1.0,29.0,BOM
F,Não,Sim,0,315000.0,Trabalho,Licenciatura,Solteiro,Casa / Apartamento,1194,1.0,29.0,BOM
F,Não,Não,0,255150.0,Pensão/Aposentadoria,Graduação incompleta,Casado no civil,Apartamento alugado,-365243,2.0,51.0,BOM
F,Não,Não,0,255150.0,Pensão/Aposentadoria,Graduação incompleta,Casado no civil,Apartamento alugado,-365243,2.0,51.0,BOM
F,Não,Não,0,255150.0,Pensão/Aposentadoria,Graduação incompleta,Casado no civil,Apartamento alugado,-365243,2.0,51.0,BOM
F,Não,Não,0,255150.0,Pensão/Aposentadoria,Graduação incompleta,Casado no civil,Apartamento alugado,-365243,2.0,51.0,BOM
F,Não,Não,0,255150.0,Pensão/Aposentadoria,Graduação incompleta,Casado no civil,Apartamento alugado,-365243,2.0,51.0,BOM
F,Não,Não,0,255150.0,Pensão/Aposentadoria,Graduação incompleta,Casado no civil,Apartamento alugado,-365243,2.0,51.0,BOM
F,Não,Sim,2,157500.0,Trabalho,Licenciatura,Solteiro,Casa / Apartamento,555,3.0,39.0,BOM
F,Não,Sim,2,157500.0,Trabalho,Licenciatura,Solteiro,Casa / Apartamento,555,3.0,39.0,BOM
F,Não,Sim,0,148500.0,Trabalho,Graduação completa,Casado,Casa / Apartamento,889,2.0,48.0,BOM
F,Não,Sim,0,148500.0,Trabalho,Graduação completa,Casado,Casa / Apartamento,889,2.0,48.0,BOM
F,Não,Sim,0,148500.0,Trabalho,Graduação completa,Casado,Casa / Apartamento,889,2.0,48.0,BOM
F,Não,Sim,0,148500.0,Trabalho,Graduação completa,Casado,Casa / Apartamento,889,2.0,48.0,BOM
F,Não,Sim,0,148500.0,Trabalho,Graduação completa,Casado,Casa / Apartamento,889,2.0,48.0,BOM
F,Não,Sim,0,148500.0,Trabalho,Graduação completa,Casado,Casa / Apartamento,889,2.0,48.0,BOM
F,Não,Sim,2,202500.0,Trabalho,Graduação completa,Casado,Casa / Apartamento,2289,4.0,30.0,BOM
F,Não,Sim,2,202500.0,Trabalho,Graduação completa,Casado,Casa / Apartamento,2289,4.0,30.0,BOM
F,Não,Sim,2,202500.0,Trabalho,Graduação completa,Casado,Casa / Apartamento,2289,4.0,30.0,BOM
F,Não,Sim,2,202500.0,Trabalho,Graduação completa,Casado,Casa / Apartamento,2289,4.0,30.0,BOM
F,Não,Sim,2,202500.0,Trabalho,Graduação completa,Casado,Casa / Apartamento,2289,4.0,30.0,BOM
M,Não,Sim,0,202500.0,Trabalho,Licenciatura,Solteiro,Casa / Apartamento,889,1.0,24.0,BOM
M,Não,Sim,0,202500.0,Trabalho,Licenciatura,Solteiro,Casa / Apartamento,889,1.0,24.0,BOM
F,Sim,Sim,0,112500.0,Representate comercial,Licenciatura,Solteiro,Casa / Apartamento,797,1.0,21.0,BOM
F,Não,Sim,0,94500.0,Pensão/Aposentadoria,Graduação completa,Casado,Casa / Apartamento,-365243,2.0,61.0,BOM
M,Sim,Sim,0,315000.0,Trabalho,Licenciatura,Casado no civil,Casa / Apartamento,2077,2.0,29.0,BOM
M,Sim,Sim,0,315000.0,Trabalho,Licenciatura,Casado no civil,Casa / Apartamento,2077,2.0,29.0,BOM
M,Sim,Sim,0,315000.0,Trabalho,Licenciatura,Casado no civil,Casa / Apartamento,2077,2.0,29.0,BOM
M,Sim,Sim,0,315000.0,Trabalho,Licenciatura,Casado no civil,Casa / Apartamento,2077,2.0,29.0,BOM
M,Sim,Sim,0,315000.0,Trabalho,Licenciatura,Casado no civil,Casa / Apartamento,2077,2.0,29.0,BOM
M,Sim,Sim,0,315000.0,Trabalho,Licenciatura,Casado no civil,Casa / Apartamento,2077,2.0,29.0,BOM
M,Sim,Sim,0,315000.0,Trabalho,Licenciatura,Casado no civil,Casa / Apartamento,2077,2.0,29.0,BOM
M,Sim,Sim,0,315000.0,Trabalho,Licenciatura,Casado no civil,Casa / Apartamento,2077,2.0,29.0,BOM
M,Sim,Sim,0,315000.0,Trabalho,Licenciatura,Casado no civil,Casa / Apartamento,2077,2.0,29.0,BOM
